text,created_at,lat,lon,place,coordinates,location,polarity,sentiment,emotion,party
#2016 #45th #presidential #election #election2016 on my #birthday 🎂 #decided #fate of the… https://t.co/nIMVV6bWTx,11/9/2016 2:03,40.1607,-75.3043,"Place(name='Pennsylvania', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/dd9c503d6c35364b.json', full_name='Pennsylvania, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]], type='Polygon'), contained_within=[], id='dd9c503d6c35364b')","{'coordinates': [-75.3043, 40.1607], 'type': 'Point'}","Blue Bell, PA",0.108836579,negative,Surprise,Election
#2016election #LetsVote #election2016 #VotoLatino #RockTheVote #Hillary2016 #trump2016… https://t.co/T6cRk4H9LJ,11/9/2016 1:53,38.96457374,-95.2350229,"Place(name='Kansas', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/27c45d804c777999.json', full_name='Kansas, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-102.051769, 36.9931101], [-94.588081, 36.9931101], [-94.588081, 40.003282], [-102.051769, 40.003282]]], type='Polygon'), contained_within=[], id='27c45d804c777999')","{'coordinates': [-95.2350229, 38.96457374], 'type': 'Point'}",,0.108836579,negative,Sadness,Hillary
#206 #getoutandvote #election2016 #ivoted🇺🇸 @ Walker Fire Station 2 https://t.co/2G5KxVuDwC,11/9/2016 2:11,41.8781136,-87.6297982,"Place(name='Chicago', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', full_name='Chicago, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]], type='Polygon'), contained_within=[], id='1d9a5370a355ab0c')","{'coordinates': [-87.6297982, 41.8781136], 'type': 'Point'}",United States,0.108836579,negative,Joy,Election
#67. #Election2016 @ Ben Franklin High School https://t.co/BxMKyLsi3E,11/9/2016 2:15,33.17435814,-87.49761934,"Place(name='Tuscaloosa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3a22597bb94d08bd.json', full_name='Tuscaloosa, AL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.626729, 33.098411], [-87.440084, 33.098411], [-87.440084, 33.29479], [-87.626729, 33.29479]]], type='Polygon'), contained_within=[], id='3a22597bb94d08bd')","{'coordinates': [-87.49761934, 33.17435814], 'type': 'Point'}",The Speed Force,0.108836579,negative,Fear,Election
#adrianj #firsttimevoter #heswithher #hedidntvotefirtrump #election2016 #gooutandvote… https://t.co/GzPz5n957m,11/9/2016 1:45,33.57796473,-84.33844098,"Place(name='Morrow', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/d6f81f46b9393919.json', full_name='Morrow, GA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-84.358067, 33.563564], [-84.309694, 33.563564], [-84.309694, 33.607716], [-84.358067, 33.607716]]], type='Polygon'), contained_within=[], id='d6f81f46b9393919')","{'coordinates': [-84.33844098, 33.57796473], 'type': 'Point'}","Atlanta, GA",0.108836579,negative,Joy,Trump
#AfterWork #ElectionEve  #election2016 still undecided. 😞😭 @ BJ's Restaurant and Brewhouse https://t.co/p3vf0tHJcp,11/9/2016 1:36,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}",NYC,0.057896815,negative,Fear,Election
"#America #herewego #election2016 #electionday @ South Omaha, Nebraska https://t.co/RObWTd2CVy",11/9/2016 1:25,36.1344,-95.9308,"Place(name='Tulsa', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/cb74aaf709812e0f.json', full_name='Tulsa, OK', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-96.0656278, 35.968624], [-95.761656, 35.968624], [-95.761656, 36.250159], [-96.0656278, 36.250159]]], type='Polygon'), contained_within=[], id='cb74aaf709812e0f')","{'coordinates': [-95.9308, 36.1344], 'type': 'Point'}",New jersey,0.108836579,negative,Sadness,Election
"#AMERICA, let your #voice be heard!  #VOTE #Election2016 #ElectionDay https://t.co/LzfjGCsmxe",11/9/2016 1:22,40.7142,-74.0064,"Place(name='Manhattan', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', full_name='Manhattan, NY', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], type='Polygon'), contained_within=[], id='01a9a39529b27f36')","{'coordinates': [-74.0064, 40.7142], 'type': 'Point'}","Brooklyn, NY",0.108836579,negative,Fear,Election
#✌🏻️ #vote #voters #makeadifference #nycvotes #election2016 #vote2016… https://t.co/h9PFhkJy2G,11/9/2016 1:18,42.20771819,-83.35863452,"Place(name='Romulus', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/781e991b9f95b37f.json', full_name='Romulus, MI', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-83.446302, 42.179271], [-83.306006, 42.179271], [-83.306006, 42.268212], [-83.446302, 42.268212]]], type='Polygon'), contained_within=[], id='781e991b9f95b37f')","{'coordinates': [-83.35863452, 42.20771819], 'type': 'Point'}",#OnDeScene,0.108836579,negative,Sadness,Election
#art #magick #meditation #freedumb #vote #election2016 #donaldtrump #hillaryclinton @ JR'S Golf… https://t.co/FHjjk1tJX0,11/9/2016 1:14,38.562967,-121.486881,"Place(name='Sacramento', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json', full_name='Sacramento, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-121.576613, 38.43792], [-121.362715, 38.43792], [-121.362715, 38.6855236], [-121.576613, 38.6855236]]], type='Polygon'), contained_within=[], id='b71fac2ee9792cbe')","{'coordinates': [-121.486881, 38.562967], 'type': 'Point'}",California,0.108836579,negative,Surprise,Hillary
#Baltimore #vote for Bond Issue D to fund @prattlibrary buildings https://t.co/ZcxU2p6fEG #Election2016 @Pratt_Contemps,11/9/2016 1:01,42.07207207,-87.91733504,"Place(name='Wheeling', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/f2da3efc48696715.json', full_name='Wheeling, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.961117, 42.094938], [-87.886833, 42.094938], [-87.886833, 42.154943], [-87.961117, 42.154943]]], type='Polygon'), contained_within=[], id='f2da3efc48696715')","{'coordinates': [-87.91733504, 42.07207207], 'type': 'Point'}",USA,0.028748523,negative,Joy,Election
"#Boom #Voted #Election2016 #ImWithHer and ALL the hers, and hims, and thems, and YOU, too! 🙏🙋🇺🇸… https://t.co/yt5ZhHHqUX",11/9/2016 1:00,34.7397087,-96.7401826,"Place(name='Ada', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/7d89114dfdfefb68.json', full_name='Ada, OK', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-96.717492, 34.729522], [-96.617888, 34.729522], [-96.617888, 34.8213714], [-96.717492, 34.8213714]]], type='Polygon'), contained_within=[], id='7d89114dfdfefb68')","{'coordinates': [-96.7401826, 34.7397087], 'type': 'Point'}","Ada, Oklahoma",0.926848254,negative,Sadness,Hillary
#daily #Word #election2016 @ Friendship Church https://t.co/h9yclaZtKT,11/9/2016 0:46,41.88914,-87.61945,"Place(name='Chicago', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', full_name='Chicago, IL', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]], type='Polygon'), contained_within=[], id='1d9a5370a355ab0c')","{'coordinates': [-87.61945, 41.88914], 'type': 'Point'}","Chicago, IL",0.926848254,negative,Sadness,Election
#DearGod. Yesterday my #cat died. My #car got dented:(  Please have mercy with me today and get the lesser of 2 evils elected #Election2016,11/9/2016 0:44,38.685,-120.824,"Place(name='Diamond Springs', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/098f95bb0ddf2469.json', full_name='Diamond Springs, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-120.871013, 38.65888], [-120.780258, 38.65888], [-120.780258, 38.7253161], [-120.871013, 38.7253161]]], type='Polygon'), contained_within=[], id='098f95bb0ddf2469')","{'coordinates': [-120.824, 38.685], 'type': 'Point'}","Diamond Springs, CA",0.499539358,negative,Sadness,Election
#Democracy in action. #election2016 #tuesday #imwithher @ The United States of America https://t.co/OLvClHR7ls,11/9/2016 0:41,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}",right next to you,0.108836579,negative,Joy,Hillary
#donaldtrump #hillaryclinton I'm win! #vote firme #GaelYunes #election2016 #vote #USA #election… https://t.co/Grq08PeSU7,11/9/2016 0:38,42.7555213,-84.5437175,"Place(name='Lansing', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/91eb113282d003a1.json', full_name='Lansing, MI', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-84.63184, 42.6185662], [-84.483958, 42.6185662], [-84.483958, 42.805532], [-84.63184, 42.805532]]], type='Polygon'), contained_within=[], id='91eb113282d003a1')","{'coordinates': [-84.5437175, 42.7555213], 'type': 'Point'}",East Lansing,0.926848254,negative,Sadness,Hillary
"#done #election2016 #vote @ Los Feliz, Los Angeles https://t.co/VQXo1bbBUR",11/9/2016 0:30,34.0740894,-118.354891,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.35489104, 34.0740894], 'type': 'Point'}","West Hollywood, CA",0.108836579,negative,Surprise,Election
"#dontboovote #vote #election2016 #justdoit @ Old Town, Alexandria https://t.co/E2d4GpWduA",11/9/2016 0:26,34.0522,-118.243,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.243, 34.0522], 'type': 'Point'}","Hollywood, California",0.108836579,negative,Joy,Election
#dontforget to get out there and #vote #today #election2016 #election #electionday… https://t.co/7HSlxvu70V,11/9/2016 0:18,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}",right next to you,0.055728215,negative,Fear,Election
#🇺🇸 #Ivoted #nycvotes #election2016 #teamusa #whatsundermyfeet #waitingforthetrain #nyc… https://t.co/ALkH0uWqfk,11/8/2016 23:45,34.0025889,-118.4310142,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.4310142, 34.0025889], 'type': 'Point'}",Where the sidewalk ends,0.108836579,negative,Joy,Election
"#election2016  #ivoteddidyou @ Town of Penfield, New York https://t.co/mqUntpsbkd",11/8/2016 17:10,37.775,-122.418,"Place(name='San Francisco', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/5a110d312052166f.json', full_name='San Francisco, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]], type='Polygon'), contained_within=[], id='5a110d312052166f')","{'coordinates': [-122.418, 37.775], 'type': 'Point'}","San Francisco, CA",0.108836579,negative,Surprise,Election
"#election2016 -- What a long, strange trip it's been. #electionday #vote #georgia @ Peachcrest… https://t.co/SqlPKPIEfC",11/8/2016 23:22,39.7321,-104.949,"Place(name='Denver', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/b49b3053b5c25bf5.json', full_name='Denver, CO', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]], type='Polygon'), contained_within=[], id='b49b3053b5c25bf5')","{'coordinates': [-104.949, 39.7321], 'type': 'Point'}","Denver, CO",0.037452656,negative,Fear,Election
"#election2016 
#ourGodissovereign @ West-Ark Church of Christ https://t.co/XX2gNYKGsb",11/8/2016 17:09,32.3335099,-80.93159,"Place(name='South Carolina', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/6057f1e35bcc6c20.json', full_name='South Carolina, USA', place_type='admin', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]], type='Polygon'), contained_within=[], id='6057f1e35bcc6c20')","{'coordinates': [-80.93159, 32.3335099], 'type': 'Point'}","Savannah, GA",0.108836579,negative,Joy,Election
#election2016 #betterchoice #wearedoomed #votesmart @ Sunrise Ford NoHo https://t.co/zoYyY1JBN9,11/8/2016 19:27,40.89639254,-74.19839742,"Place(name='Woodland Park', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/7148e03302aa94e3.json', full_name='Woodland Park, NJ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-74.21931, 40.872408], [-74.174427, 40.872408], [-74.174427, 40.9075021], [-74.21931, 40.9075021]]], type='Polygon'), contained_within=[], id='7148e03302aa94e3')","{'coordinates': [-74.19839742, 40.89639254], 'type': 'Point'}",NEW JERSEY,0.108836579,negative,Joy,Election
#election2016 #boca #voteforpedro @ Southwinds Golf Course https://t.co/ABXkBuCeGa,11/8/2016 19:09,32.22254851,-110.9706794,"Place(name='Tucson', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/013379ee5729a5e6.json', full_name='Tucson, AZ', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-111.083219, 32.057802], [-110.747928, 32.057802], [-110.747928, 32.320979], [-111.083219, 32.320979]]], type='Polygon'), contained_within=[], id='013379ee5729a5e6')","{'coordinates': [-110.97067938, 32.22254851], 'type': 'Point'}","Tucson, AZ",0.108836579,negative,Anger,Election
#election2016 #cityhall #vote @ City Hall Park https://t.co/d2ofKzYoCF,11/8/2016 18:54,33.99846802,-118.3310107,"Place(name='Los Angeles', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', full_name='Los Angeles, CA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]], type='Polygon'), contained_within=[], id='3b77caf94bfc81fe')","{'coordinates': [-118.33101065, 33.99846802], 'type': 'Point'}","Manchester, City of Steel",0.108836579,negative,Joy,Election
#election2016 #day @ Mount Sentinel https://t.co/DqgIDEGi7k,11/8/2016 18:50,38.88878628,-77.0058375,"Place(name='Washington', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', full_name='Washington, DC', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]], type='Polygon'), contained_within=[], id='01fbe706f872cb32')","{'coordinates': [-77.0058375, 38.88878628], 'type': 'Point'}",,0.108836579,negative,Fear,Election
#election2016 #decision2016 #rockthevote #vote #overit #readytomoveon #election #me #jimontheair… https://t.co/I2PSPiOFes,11/8/2016 18:50,39.965,-75.13555556,"Place(name='Philadelphia', _api=<tweepy.api.API object at 0x110ec6630>, url='https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json', full_name='Philadelphia, PA', place_type='city', country_code='US', attributes={}, country='United States', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x110ec6630>, coordinates=[[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]], type='Polygon'), contained_within=[], id='e4a0d228eb6be76b')","{'coordinates': [-75.13555556, 39.965], 'type': 'Point'}",Philadelphia,0.108836579,negative,Fear,Election
