text,created_at,lat,lon,polarity,sentiment,emotion,party
What a beautiful day to exercise the 19th amendment. Go vote. #ivoted🇺🇸 #imwithher #election2016… https://t.co/GE1ctSrKtX,11/8/2016 6:43,34.139702,-118.022308,21.27152655,positive,Joy,Hillary
"wendythedarlingcorgi voted, how about you? #RittenhouseHillVotes #electionday #election2016… https://t.co/yHBuq6ZvSF",11/8/2016 7:22,37.775,-122.418,2.315120175,positive,Fear,Election
Well.. I voted   #election2016🇺🇸 @ City of Milford https://t.co/S0KdWh6vFl,11/8/2016 7:26,34.10091,-118.34212,19.71547723,positive,Joy,Election
"well shit
#barackobama #president #donaldtrump #democrat #hilaryclinton #anime #otaku… https://t.co/kXgo1rWHhq",11/8/2016 7:31,47.7449,-122.083,37.11583429,positive,Fear,Trump
"Well, #captainamerica wants you to go out and #vote this #electionday!!! #election2016… https://t.co/pB2aCrAkV0",11/8/2016 7:31,33.8,-116.6666667,19.71547723,positive,Sadness,Election
Wearing my blue @tedbaker suit today as a proud Democrat voting for the first American female… https://t.co/VOfxLYsGb3,11/8/2016 7:37,38.89733266,-77.03548342,56.07224067,positive,Sadness,Hillary
We voted. Did you?! #imwithher #vote #voted #election2016… https://t.co/XKDDnqLu8x,11/8/2016 9:52,40.6494867,-73.78156533,2.315120175,positive,Anger,Hillary
"We voted! Have you? If not, go out there and do your part! 
.
.
.
.
.
.
.
#election2016… https://t.co/Povd1IVVKZ",11/8/2016 10:21,31.99687033,-81.269496,2.315120175,positive,Sadness,Election
"We voted! ❤️🇺🇸✅
.
.
.
.
.
#voted #imwithher #democrat #hillaryclinton #ilovevoting… https://t.co/gwAIQ4A9c0",11/8/2016 10:32,37.41654934,-77.61053279,19.71547723,positive,Fear,Hillary
"we ton be lit
#barackobama #president #donaldtrump #democrat #hilaryclinton #anime #otaku… https://t.co/zpBg101m8p",11/8/2016 10:54,40.7457,-74.05026,19.71547723,positive,Joy,Trump
"We love @jtylerlee #52NewFoods #brusselsproutchips 🌱💜 #foodrevolution @ Congress Park, Denver https://t.co/Q5wTRQDJPa",11/8/2016 10:58,40.65,-73.95,21.27152655,positive,Sadness,Election
We came. We conquered. We voted. And now we grub! #Election2016… https://t.co/hqz0xhck6C,11/8/2016 11:10,33.80968382,-84.22578268,2.315120175,positive,Joy,Election
We are covering both local Democrat and Republican parties tonight. Current view at the local… https://t.co/vwXGNxamzX,11/8/2016 11:11,32.90783954,-79.993693,19.71547723,positive,Joy,Election
Watching the #polls like 📉🇺🇸💀 || #2016 #election #hillary #trump #democrat #republican #america… https://t.co/uTTxPilt1T,11/8/2016 11:15,41.28090562,-72.82315652,2.709175096,positive,Fear,Hillary
"Want to work in 211 CONGRESS STREET, #BOSTON, MA? View our latest opening: https://t.co/VdVjtGFm6F #Job #BusinessMgmt #Veterans #Jobs",11/8/2016 11:17,40.71330089,-74.01342472,2.040424,positive,Joy,Election
"Waited in line for an hour, but it's done!!! #election2016… https://t.co/i0pvcnSj64",11/8/2016 11:30,32.8002185,-83.6423546,2.315120175,positive,Joy,Election
Voting together since 2010. #therobertsonsofcataula #harriscountyga #postthepeach #election2016… https://t.co/hB8i7qpATA,11/8/2016 11:35,40.80927,-73.94907117,21.27152655,positive,Joy,Election
"Voting today
#makingmyvotecount📝✏ 
#election2016🇺🇸 
#trump 
#trump🇺🇸 @ Hanahan Middle https://t.co/SeJZv4uqGf",11/8/2016 11:36,40,-100,21.27152655,positive,Sadness,Trump
"Voting is a right, privilege, and responsibility! VOTE TODAY! 🇺🇸 #ivoted #vote #election2016 @… https://t.co/0FykRwhyZt",11/8/2016 11:38,39.29938607,-76.5794865,2.63602335,positive,Anger,Election
"Voting done ✅ #election2016🇺🇸 @ Milton, Pennsylvania https://t.co/iGROOsnuYB",11/8/2016 11:40,40.747,-73.986,2.315120175,positive,Fear,Election
Voting day in the USA!! Great day to be an American. #IVoted #EveryVoteCounts #Election2016… https://t.co/KZ3BSkxVDb,11/8/2016 11:41,43.557968,-73.650986,38.67188361,positive,Fear,Election
"Voted!! #imwithher @ Congress Park, Denver https://t.co/zClxfSFqpp",11/8/2016 11:44,40.6796769,-73.9475557,2.315120175,positive,Fear,Hillary
Voted!!! #election2016🇺🇸 @evanlevesque16 #electionday @ Village of… https://t.co/NAaCIwckBv,11/8/2016 11:44,40.68684469,-73.99740478,2.315120175,positive,Fear,Election
voted for the nastiest woman on the ballot 😈 also wrote in 'Mattie the Collie' for congress… https://t.co/d40O3glixc,11/8/2016 11:52,33.74114185,-84.41114967,2.315120175,positive,Sadness,Election
VOTE! #IVoted #TeamHillary hillaryclinton #Democrat #Brooklyn #PS5 #Poll #PollingStation… https://t.co/ZHcLSFKOFh,11/8/2016 11:59,37.46492091,-77.51945252,19.71547723,positive,Anger,Hillary
"Vote vote vote.... Please vote! #vote #imwithher #democrat #votolatino @ Silver Lake, Los Angeles https://t.co/QoCI34LqPI",11/8/2016 12:01,40.7644,-74.14793,38.67188361,positive,Joy,Hillary
"VOTE FOR EL IDIOTA? 😈 ....
.
.
#DumpTrump #NeverTrump #ElectionNight #Hillary #election2016… https://t.co/1djxus9BWV",11/8/2016 12:02,38.8991,-77.029,2.315120175,positive,Surprise,Hillary
Vote ✓ | Run ✓ | Work ✓ | 🇺🇸🇺🇸🇺🇸#runthevote #myphillyrun #philadelphiarunner #vote #election2016… https://t.co/GIbp99elzw,11/8/2016 12:04,39.9270145,-75.2508548,21.27152655,positive,Fear,Election
U.S. Rep. Beto O'Rourke to claim third term in U.S. Congress epelex https://t.co/24l4vzwD8H,11/8/2016 12:08,39.93015,-86.06048,2.315120175,positive,Surprise,Election
Today's political statement for the workplace... #imwithher #wonderwoman #election2016… https://t.co/ObUxgrJpq0,11/8/2016 12:12,41.11526,-73.41996,2.315120175,positive,Sadness,Hillary
TODAY WE MAKE AMERICA GREAT AGAIN!!!  #election2016… https://t.co/hFF1dtwrMP,11/8/2016 12:14,35.5855904,-80.8707962,21.27152655,positive,Surprise,Election
Today is the day #VoteHillary #ElectionDay Trump es solo material de baño jejeje #Election2016… https://t.co/yA2GMKt81d,11/8/2016 12:16,38.89896845,-76.76692824,21.27152655,positive,Joy,Hillary
"Today is #ElectionDay  🇺🇸 !!!
#GetOutAndVote #Florida #Election2016… https://t.co/eIIac87QKz",11/8/2016 12:18,37.885419,-84.5958663,2.315120175,positive,Joy,Election
Today is a great day to exercise.... your #RIGHT to #VOTE! #philly #getoutthevote #election2016… https://t.co/42oRvorjVs,11/8/2016 12:18,40.73424501,-75.61904419,38.67188361,positive,Joy,Election
TMW you realize every vote really does matter. (BTW not a photo of me) #PleaseVote #Election2016… https://t.co/cSDLVPTzRc,11/8/2016 12:20,41.8369,-87.6844,2.315120175,positive,Joy,Election
"To all members of congress...if you want to get things done,you must work together and be willing to compromise,meaning NO MORE GRIDLOCK!",11/8/2016 12:20,40.7,-73.95,4.491501939,positive,Fear,Election
This sign was at my polling place and sums up why I would never vote democrat. The biggest con… https://t.co/UitusIB6Fu,11/8/2016 12:23,40.76232,-73.96865,19.71547723,positive,Joy,Hillary
This is my cousin! https://t.co/oGPWMxCS4R,11/8/2016 12:25,37.640941,-77.54729069,2.315120175,positive,Sadness,Election
This is for my girls. All around the world. Stand up and be heard. 🙌🏻💪🏻🇺🇸💃🏼 #election2016… https://t.co/27Kt7lzljE,11/8/2016 12:27,34.5496054,-87.0084586,38.67188361,positive,Joy,Election
This #babyfeminist and I are currently waiting in line to #vote. #imwithher #election2016… https://t.co/jZMRpEQZwt,11/8/2016 12:28,37.62836275,-77.33691587,2.315120175,positive,Anger,Hillary
These two awesome people already went to vote! #election2016🇺🇸 Vayan a votar!!! #clinton2016 @… https://t.co/b4CU4uj2Ld,11/8/2016 12:29,39.9594499,-82.01645,21.27152655,positive,Fear,Election
There is a line to vote at 6:30 am! #CBSelection #election2016… https://t.co/Fu0Egrbf59,11/8/2016 12:30,39.9757,-75.2129,2.315120175,positive,Joy,Election
"The tweet with the most impact of the #YourVote2016 Trend, was published by @annie7589: https://t.co/Ok21hGzO0I (101 RTs) #trndnl",11/8/2016 12:31,42.413027,-71.068704,21.27152655,positive,Joy,Election
The couple that votes 🇺🇸 together! #vote #coupleswhovotetogether #democracy #election2016🇺🇸… https://t.co/h1uSzNZlet,11/8/2016 12:38,38.92230509,-77.04260715,21.27152655,positive,Sadness,Hillary
"The Associated Press calls Maricopa County Sheriff's race for Democrat Paul Penzone, unseating longtime sheriff Joe… https://t.co/KUfZvpynkk",11/8/2016 12:39,40.71241085,-74.00687921,37.11583429,positive,Fear,Hillary
The ballot is stronger than the bullet🗳 • • • Tune into WCTV for team coverage on #Election2016… https://t.co/yBJSVDSBTQ,11/8/2016 12:39,41.88339,-87.64312,2.315120175,positive,Surprise,Election
The @lifeatpurdue voting line runs the length of nearly both corridors at 9:30 AM. #election2016… https://t.co/kVGiOtisgU,11/8/2016 12:40,39.97749393,-86.07468537,2.315120175,positive,Fear,Election
Taking Paloma to vote was awesome. She knew who WOULDN'T vote for. #bijavotes #election2016… https://t.co/6A0FrABkQ2,11/8/2016 12:42,36.5832704,-79.43800895,21.27152655,positive,Sadness,Election
"Stop playing games and go vote. #Dab #vote #voteordie #election2016🇺🇸 #imwithher @ Canarsie,… https://t.co/y6iKaV7pJm",11/8/2016 12:45,40.7302,-73.9369,2.315120175,positive,Surprise,Hillary
straight up #austinofficespace #tableausoftware @ One Congress Center https://t.co/Qi9yb6yp4N,11/8/2016 12:45,39.721,-104.95,19.71547723,positive,Surprise,Election
Strong Selfies and Good Lighting for hillaryclinton 🇺🇸🇺🇸🇺🇸 #ivoted #vote #election2016… https://t.co/otJX05XCFF,11/8/2016 12:45,40.7142,-74.0064,37.11583429,positive,Joy,Hillary
"stubbsandwootton
・・・
#Repost stubbsandwootton

Democrat 🇺🇸✅ @ The Acreage, Florida https://t.co/Eck1vIUROh",11/8/2016 12:45,39.03572712,-77.00527139,19.71547723,positive,Fear,Hillary
"Sound off for us, let us know what you think of the #election2016 #election #president #senate… https://t.co/QJnu8U88kv",11/8/2016 12:48,39.819541,-86.162878,2.709175096,positive,Joy,Election
So so proud to be exercising my rights today and making my voice be heard.🇺🇸 #election2016… https://t.co/awzqcarz44,11/8/2016 12:50,26.15332985,-80.14041042,38.67188361,positive,Joy,Election
Since I was old enough to vote I’ve been told that a vote for a non democrat or republican is a… https://t.co/5dMuLoKqdh,11/8/2016 12:51,39.9674229,-82.94758838,19.71547723,positive,Fear,Election
So excited to be voting in #chinese! Just #follow #check ! #希拉裡 #democrat #投票 #nyc #instadaily… https://t.co/7ZT2z1gMUy,11/8/2016 12:51,25.79107,-80.13111,57.62828998,positive,Joy,Hillary
So excited we're going to make history!#HillYes #hillaryclinton #hillary2016 #election2016… https://t.co/TxHrM1ZwMj,11/8/2016 12:51,33.8926574,-84.3228653,21.27152655,positive,Sadness,Hillary
serpentine_man trumpet man democrat @ Just Off The Atchafalaya Basin Bridge https://t.co/5GqhyqtTuF,11/8/2016 12:54,29.62265177,-82.38528474,57.62828998,positive,Joy,Trump
Service and Reward #torchystacos #chorizo #voted #america @ South Congress https://t.co/97jbihXWIV,11/8/2016 12:54,44.96906271,-93.25942674,21.27152655,positive,Sadness,Election
Reporting from the San Francisco Democrat's party tonight for @MeganGoldsby @ VERSO https://t.co/qVUCVvD7wj,11/8/2016 12:58,39.945556,-75.161111,19.71547723,positive,Fear,Hillary
"Republican or democrat, a woman's place is in the house AND senate.… https://t.co/rDxpxAnypq",11/8/2016 12:58,42.430293,-71.132243,19.71547723,positive,Joy,Election
Republican-turned-independent-turned-Democrat Charlie Crist wins a Florida house seat https://t.co/BLS1UttwQa,11/8/2016 12:58,42.94396931,-87.8766015,37.11583429,positive,Surprise,Election
reveling in the importance of today + missing my (adopted) hometown 💕 #election2016… https://t.co/WMdy6ZnMWa,11/8/2016 12:58,27.42290077,-82.55568324,19.71547723,positive,Fear,Election
"Red or blue, doesn't matter (kinda does) just go vote! #themadious 
.
.
.
.
.
#election2016… https://t.co/iYO6V3lqeM",11/8/2016 13:00,40.7364,-73.8625,21.27152655,positive,Fear,Election
Read about our trip to Brighton for the UK #Dementia Congress 2016 #UKDC2016  https://t.co/ktljPTHpYM,11/8/2016 13:03,39.09,-77.64,2.315120175,positive,Sadness,Election
"Proud to be a woman (and a democrat) today 🇺🇸 #imwithher #thefutureisfemale @ Williamsburg,… https://t.co/OA1mOocUa4",11/8/2016 13:04,40.68343058,-73.87309193,38.67188361,positive,Joy,Hillary
"Proud to be hittin the polls with my girl!
🗣❤🇺🇸❤🇺🇸❤🇺🇸
#Election2016  #RockTheVote #KnowYourChoices #KnowYourRights… https://t.co/F7FOHgGKAY",11/8/2016 13:04,40.7776764,-73.9620538,21.27152655,positive,Joy,Election
Pretty proud of the signs I made for work! ✌🏻️🇺🇸 #imwithher #election2016 #vote #hrc #nastywoman… https://t.co/6x30eFtZhB,11/8/2016 13:05,41.26885,-72.94551,2.782326842,positive,Joy,Hillary
Positive Energy Tee On Today! #loveislove #election2016🇺🇸… https://t.co/hcLW8wfJIR,11/8/2016 13:06,34.47936891,-82.75018036,19.71547723,positive,Surprise,Election
Post-voting breakfast... #ObligatoryInstagram @ WeWork Congress https://t.co/FApxtVlsio,11/8/2016 13:06,34.08308,-83.90648,2.315120175,positive,Fear,Election
PLEASE GO VOTE TONIGHT BY 8PM!! YOU MAKE ALL THE DIFFERENCE! CONGRESS AND SENATE ARE UP FOR… https://t.co/wKx5UklqD4,11/8/2016 13:07,30.53773851,-97.68238559,21.27152655,positive,Sadness,Election
Polls are already poppin'... 🇺🇸Go vote! Exercise your right as a citizen! #govote #election2016… https://t.co/z2Ba2b4bx6,11/8/2016 13:07,25.8355,-80.19078,19.71547723,positive,Surprise,Election
"Peace and goodwill on this Election Day AND BEYOND. 🇺🇸
#usa #electionday #election2016 #peace… https://t.co/Tlj4jQKFOa",11/8/2016 13:09,39.952181,-75.146369,2.63602335,positive,Fear,Election
Pantsuits for #President 🇺🇸#vote #pantsuitnation #nastywoman #VoteAgainstHate #election2016… https://t.co/5uqTXg7BcP,11/8/2016 13:10,38.9018523,-76.9963921,2.315120175,positive,Joy,Election
"Passed by Congress June 4, 1919, and ratified on August 18, 1920,… https://t.co/E8KE6FgqAC",11/8/2016 13:10,42.2726359,-85.5718184,2.315120175,positive,Fear,Election
"On this day, 100 years ago, the first women was voted into Congress.… https://t.co/Zh2r5mrxXk",11/8/2016 13:12,35.01532606,-82.27687215,2.315120175,positive,Joy,Election
Orientation time. #Nitzavim #election2016🇺🇸 @ Greater Antioch… https://t.co/yQOUxeKSNf,11/8/2016 13:12,42.8098849,-96.2689342,2.315120175,positive,Fear,Election
Ok everyone! #getoutthereandvote raffle today for the #presidential #election2016… https://t.co/Tp8OnOudbk,11/8/2016 13:14,40.75691,-73.97388,2.315120175,positive,Fear,Election
Off to the polls to add my #electionday photo for today's fiveminutejournal entry. #election2016… https://t.co/s1whkhzJZL,11/8/2016 13:15,42.07132705,-80.1343792,2.315120175,positive,Joy,Election
Obligatory I'm with Emma voting picture. #notabully #pitbull #election2016… https://t.co/bFdfTlZfbt,11/8/2016 13:17,42.1285393,-70.9162016,21.27152655,positive,Fear,Election
"Obama said Don't boo, vote! so I voted with my boo 😘😘🇺🇸🇺🇸

#columbus #voting #election2016… https://t.co/jwkTNRTAcq",11/8/2016 13:18,45.2609,-93.4426,2.315120175,positive,Fear,Election
O'Rourke wins third term in U.S. Congress https://t.co/24l4vzwD8H,11/8/2016 13:18,41.09400776,-73.42056196,2.315120175,positive,Joy,Election
O yes! Today s election day is perfect to enjoy a nice lunch at the bistro #election2016… https://t.co/mf3vMztIm9,11/8/2016 13:19,41.871,-87.659,3.600338517,positive,Fear,Election
Not democrat. Not republican. AMERICAN #ivoted #vegas #lasvegas @ Louis Wiener Jr Elementary School https://t.co/4KhH5diI6o,11/8/2016 13:21,34.01613912,-80.40158488,19.71547723,positive,Fear,Election
"No matter what happens today, we're still #TeamUSA 

Keep it's classy, America. 

#election2016… https://t.co/3HdTFK2fY5",11/8/2016 13:22,40.67833,-73.96574,2.315120175,positive,Fear,Election
"no no no
#barackobama #president #donaldtrump #democrat #hilaryclinton #anime #otaku… https://t.co/e5ktQybqXM",11/8/2016 13:22,33.49075,-112.68832,19.71547723,positive,Anger,Trump
Newsroom kitties! Check out https://t.co/cErIQOyMr1 later for more. @ Arkansas Democrat-Gazette Style https://t.co/t2As6BIFp9,11/8/2016 13:25,37.2344,-76.5098,19.71547723,positive,Joy,Hillary
Never been prouder #voted #election2016🇺🇸 #imwithher @ Greenwich Town Hall https://t.co/mhILCqFbst,11/8/2016 13:26,39.04613,-77.42762,2.315120175,positive,Fear,Hillary
My vote is in! ✅ #GoVote -#ElectionDay #2016 #ImWithHER #Democrat #BeTheChangeYouWantToSee @… https://t.co/l66CELD1e7,11/8/2016 13:28,28.52300147,-81.34678618,19.71547723,positive,Fear,Hillary
"My vote, My voice.... Democrat Party always... @ Washington, Indianapolis, Indiana https://t.co/odpPFg78FC",11/8/2016 13:28,40.72652,-74.00545,19.71547723,positive,Joy,Hillary
My family has one sign in our front yard and it is for this great man. It isn't about Democrat… https://t.co/v2G8IYor0r,11/8/2016 13:30,39.92906607,-75.17025755,21.27152655,positive,Joy,Hillary
My favorite sticker in the world. #ivoted #imwithher #election2016 @ Saigon Maxim https://t.co/XmMd8ANesp,11/8/2016 13:30,41.07,-73.89111111,2.782326842,positive,Fear,Hillary
"my friend king71896 wants to know lol
#obamaphone #barackobama #president #donaldtrump #democrat… https://t.co/ggPqlq17EW",11/8/2016 13:30,39.95387478,-75.16724886,57.62828998,positive,Anger,Trump
Most important thing I will do today! #GOTMFV #election2016🇺🇸 #imwithher🇺🇸 #GoVote #ivoted🇺🇸 @… https://t.co/KyiQ8IMeBC,11/8/2016 13:31,34.10150824,-118.3269355,38.67188361,positive,Fear,Hillary
Morning sky this morning in #barnesvillega #lamarcountyga #countrysky #🇺🇸 #election2016… https://t.co/N0P2mUgba8,11/8/2016 13:32,37.4136,-76.5258,2.315120175,positive,Joy,Election
May the odds be ever in her favor. #vote #pantsuitnation #usa #rightsideofhistory #election2016… https://t.co/SHUGFFsXtT,11/8/2016 13:34,33.59313745,-86.49458885,56.07224067,positive,Fear,Election
"Lucky 76. This P*ssy has just grabbed back. Go, and do your civic duty. #vote #election2016… https://t.co/fdkzDiKUum",11/8/2016 13:37,40.81571,-73.93445,57.62828998,positive,Joy,Election
Mañana él futuro del #Mundo estará en manos de la población estadounidense... #election2016… https://t.co/bWhoCQ8wRj,11/8/2016 13:37,25.7651564,-80.1934132,2.315120175,positive,Anger,Election
"lmao #barack going in
#barackobama #president #donaldtrump #democrat #hilaryclinton #anime… https://t.co/1JJJoFtQfe",11/8/2016 13:40,40.763186,-73.994508,19.71547723,positive,Anger,Trump
Life is great with good coffee after voting! @ Congress Cafe https://t.co/imODbdliS1,11/8/2016 13:41,42.1306,-70.9167,38.67188361,positive,Joy,Election
Lines are already forming at my polling place #election2016🇺🇸 @ Town of Elgin https://t.co/cCU9itZDcr,11/8/2016 13:41,34.218,-80.9846,2.315120175,positive,Fear,Election
"Let's make history again today people! #imwithher #ivoted #mailedit @ South Congress, Austin, Texas https://t.co/UhHMZPLJAt",11/8/2016 13:43,42.9047,-78.8494,2.315120175,positive,Joy,Hillary
"Leaders don't always Lead, so be mindful who you choose. #ElectionDay #election2016… https://t.co/h56ZkTRHh1",11/8/2016 13:45,27.79,-82.638333,38.67188361,positive,Anger,Election
Lemony squeezies #tothemulliesindenver #foodrevolution #cookwithkids #ouchmyfingers @ Congress… https://t.co/6nKwwMvx5C,11/8/2016 13:45,37.96943952,-87.52647127,2.315120175,positive,Anger,Election
Keep stillness inside of you. Be still and know that I am God. #psalm4610 #election2016… https://t.co/4LOpcNnqcn,11/8/2016 13:47,38.6719044,-77.259784,21.27152655,positive,Sadness,Election
"Just heard a lady say had a hard time with the propositions, but the candidates it was easy - Democrat Democrat Democrat Democrat #Winning",11/8/2016 13:50,38.889722,-77.011111,2.844072198,positive,Fear,Hillary
Just posted a photo @ The Library of Congress https://t.co/VGLvcYOtTg,11/8/2016 13:50,41.529922,-81.582248,21.27152655,positive,Fear,Election
"Just did a thing #liberal #democrat #nottrump 👍🇺🇸😁 @ Edina, Minneapolis, Minnesota https://t.co/O9WZHFRKah",11/8/2016 13:51,40.75604431,-74.25305366,56.07224067,positive,Surprise,Trump
Just a friendly reminder to take the time to exercise your civil liberties!  #election2016🇺🇸… https://t.co/mXaiGs6RFb,11/8/2016 13:52,40.74884224,-73.99980845,57.62828998,positive,Joy,Election
It’s times like these I’m really happy that all of twitter is archived in the Library of Congress. Some future dude is gonna learn a lot.,11/8/2016 13:53,40.7142,-74.0064,40.22793292,positive,Surprise,Election
It's your right...Do it!!! #ivotedtoday #yourvoteyourvoice #govote #electionday #election2016… https://t.co/aBAYTXnRBr,11/8/2016 13:54,40.4553927,-79.9759604,19.71547723,positive,Joy,Election
It's my right to vote.  It's my privilege.  This is my reward.  #ivoteforthinmints #election2016… https://t.co/i2k6uTJZsv,11/8/2016 13:56,39.85432,-86.15925,57.62828998,positive,Fear,Election
It's The End Of The 🌎!!! #imwithher #berniesanders #hillaryclinton #democrat #independent #la… https://t.co/FJB7EyZdUy,11/8/2016 13:56,40.7142,-74.0064,37.11583429,positive,Surprise,Hillary
It's a great day to #govote! #strongertogether #imwithher #werewithher #election2016… https://t.co/C2MHWiN98b,11/8/2016 13:58,36.2962418,-76.2407684,21.27152655,positive,Joy,Hillary
"It's #ElectionDay.  Make sure you #Vote today.  #election2016🇺🇸 @ Los Angeles, California https://t.co/FugGPHbkJ4",11/8/2016 13:59,40.94019,-73.75634,21.27152655,positive,Sadness,Election
"It's a civic duty &amp; a privilege! #govote #election2016🇺🇸 @ Wilson Law, P.A. https://t.co/hW5gWRkwP4",11/8/2016 13:59,25.7684723,-80.1330169,21.27152655,positive,Surprise,Election
"It looks like she's going for it. #imwithher #ivoted

#vote #nov8 #electionday #election2016… https://t.co/eHgnVxjYtz",11/8/2016 14:01,34.0926,-81.1861,40.22793292,positive,Surprise,Hillary
Isn't that The truth! #TravelWithPurpose #electionday #election2016🇺🇸 @ Rockefeller Center https://t.co/ye6DadtKHV,11/8/2016 14:02,33.04655,-84.17942,21.27152655,positive,Surprise,Election
"It doesn't matter if you're black or white,  gay or straight,  tall or short,  democrat or… https://t.co/pa10Al9xhp",11/8/2016 14:02,34.0006,-81.0442,2.76514693,positive,Joy,Hillary
"In high school I was president of the Young Republicans. I’ve never voted for a Democrat. 

Until today. 
Straight ticket. 
#ElectionDay",11/8/2016 14:05,42.29976926,-83.48796733,37.11583429,positive,Fear,Election
In line at my polling place. Let's do this. #pantsuitnation🇺🇸 #votingday2016 #election2016… https://t.co/Kcq20wNYiA,11/8/2016 14:05,43.08455104,-88.03034752,2.315120175,positive,Anger,Election
"Im a Democrat... for the people, by the people. Im with us.
#strongertogether #hillaryclinton… https://t.co/rAzfDO0MHk",11/8/2016 14:06,40.7419,-73.9858,19.71547723,positive,Joy,Hillary
"im so 💀💀💀
#102 #barackobama #president #donaldtrump #democrat #hilaryclinton #anime #otaku… https://t.co/K0Nn5nvZoZ",11/8/2016 14:06,26.7151,-80.0394,19.71547723,positive,Joy,Trump
"In a world where we beat each other up over left, right, democrat, republican, who we can love,… https://t.co/jDLQOJ9TPW",11/8/2016 14:06,42.92424,-71.18584,4.418350192,positive,Joy,Election
If you want to #protect your #liberty there is only one #choice #today #election #election2016!… https://t.co/VsDK0zndyH,11/8/2016 14:07,40.64041667,-73.96208333,2.709175096,positive,Fear,Election
"If someone posts that they voted, nine times out of ten ten, they're a Democrat.",11/8/2016 14:08,36.175,-115.136,19.71547723,positive,Fear,Hillary
I've never been so happy and proud to stand on line! #election2016 #harlemvotes #election2016… https://t.co/AAIhkDg0dz,11/8/2016 14:08,33.19533,-87.54022,2.709175096,positive,Fear,Election
I'm all decked out in #BLUE! DON'T BOO- #VOTE!!! #imwithher🇺🇸 #democrat… https://t.co/EwS7a6d9wW,11/8/2016 14:11,40.7142,-74.0064,2.315120175,positive,Joy,Hillary
I was out earlier for johnpmcneil for Congress &amp;… https://t.co/ZjKtrkLuX7,11/8/2016 14:12,46.1063677,-86.2504511,2.315120175,positive,Joy,Election
I'll just leave it that... No comment needed. #Vote #Republican #Democrat #Election2016… https://t.co/1I3x5itILr,11/8/2016 14:12,39.9643687,-75.0722942,38.67188361,positive,Joy,Election
I'm a #Realtor and I voted. #MyVote counts.. It's time to take back Congress because #ImWithHer… https://t.co/T16cJnBHBr,11/8/2016 14:12,33.00482608,-80.04791577,19.71547723,positive,Fear,Hillary
I voted....did you? @ Congress Heights https://t.co/73wIJ8d382,11/8/2016 14:13,41.9796,-87.6701,2.315120175,positive,Fear,Election
I voted! Its your turn my friends! Go out and vote! #Democrat #ImWithHer #DontBoo #Vote @ New… https://t.co/C1Y5meLk69,11/8/2016 14:15,40.2558259,-74.96092203,37.11583429,positive,Joy,Hillary
"I Voted, do you?
.
.
.
#vote #hillaryclinton #elections #democrat #clinton #democrats #politics… https://t.co/K566b9PFMK",11/8/2016 14:20,42.04026694,-93.88079686,19.71547723,positive,Surprise,Hillary
"I voted, go vote! #ivoted #american #letsmakehistory #utah #democrat #femalepresident #notrump… https://t.co/zWx89XY6Zc",11/8/2016 14:20,40.7719,-73.9306,19.71547723,positive,Surprise,Trump
I voted for more lattes. #election2016🇺🇸 @ The Gallery Espresso https://t.co/iPM9KjbKVi,11/8/2016 14:22,41.25270198,-95.95219748,2.315120175,positive,Joy,Election
